#1.2
56238	53
Name	Description	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - EBV-transformed lymphocytes	Cells - Transformed fibroblasts	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000234318.1	RP4-771M4.3	0	0	0	0	0	0	0	0.05038	0	0.05275	0	0	0.04571	0.0383	0.0751	0.0647	0.03532	0.04093	0.1186	0.09917	0	0	0.02585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04378	0	0	0	0	0	0	0	0	0	0.04271	0	0	0	0
ENSG00000237163.1	RP4-771M4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229537.1	RP11-5P4.1	0	0	0	0	0	0	0	0.03564	0.05101	0.02079	0	0	0.0419	0.03254	0	0.03335	0.02947	0.01876	0	0.02399	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07713	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0.4608	0	0	0	0
ENSG00000227485.1	RP11-5P4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229225.1	RP11-5P4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203605.3	RP11-335E6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02842	0	0	0	0	0	0	0	0	0	0	0	0	0.165	0	0	0	0	0	0	0	0	0	0.4949	0	0	0	0
ENSG00000271593.1	RP11-335E6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1202	0.08092	0	0.03638	0	0.03141	0	0	0	0	0	0	0	0	0.4841	0	0	0	0	0	0	0	0	0	3.843	0	0	0	0
ENSG00000252259.1	RNA5SP49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224209.2	LINC00466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01066	0.01998	0	0.006119	0	0.01228	0	0	0	0	0	0	0	0	0.1362	0	0	0	0	0	0	0	0	0	1.889	0	0	0	0
ENSG00000228734.2	RP11-335E6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02784	0	0	0	0	0	0	0	0	0	0.1477	0	0	0	0
ENSG00000223683.1	AL138935.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.009	0	0	0	0
ENSG00000230798.1	RP4-792G4.2	0.1093	0.1021	0.05219	0.05137	0.4498	0.108	0.5463	0.009624	0.01516	0	0	0	0	0	0.02084	0	0	0	0.09958	0	0.1292	0.06721	0	0.7405	1.152	3.236	0.8024	1.643	0.1791	1.611	0.4005	0.5372	0.12	0.02838	0.01396	0.01527	0.1901	0.4373	25.42	0.06264	0.04824	0.05775	0.9265	0.5045	0.4917	0.3841	0.03261	0.2427	6.292	0.1091	0.1149	0.7017	0.02174
ENSG00000187140.4	FOXD3	0.08492	0.09754	0.06381	0.0537	0.4532	0.09986	0.5142	0	0.007664	0	0	0	0	0	0	0	0	0	0.02805	0	0.07287	0.01279	0	0.4702	0.3585	2.436	0.6759	1.316	0.1666	1.341	0.2571	0.4685	0.1085	0.03199	0.02571	0.008293	0.1701	0.08508	16.06	0.06019	0.0433	0.02485	0.659	0.313	0.2752	0.232	0	0.2262	1.374	0.09678	0.1128	0.5732	0
ENSG00000252784.1	Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236674.1	RP4-792G4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09264	0	0	0	0	0	0	0	0	0	0.01903	0	0	0	0
ENSG00000088035.11	ALG6	2.145	1.897	2.352	1.152	1.514	1.001	1.728	1.098	1.041	1.234	2.439	2.321	1.152	1.098	1.119	1.229	1.245	1.118	1.497	1.139	2.468	3.16	2.245	2.466	2.5	1.45	2.139	1.346	2.667	1.191	2.118	0.9289	0.6397	1.449	1.378	1.942	2.403	0.762	3.664	2.492	1.446	1.665	2.311	2.98	2.924	2.868	3.437	1.749	1.896	2.351	2.216	2.655	1.581
ENSG00000142856.12	ITGB3BP	1.468	1.231	1.473	1.152	1.39	1.267	1.531	0.8617	0.81	0.8979	1.416	1.309	0.8345	0.9541	0.7269	0.9707	0.9443	0.8277	0.9964	0.8466	1.911	6.298	2.02	1.672	2.162	1.812	1.423	2.029	1.621	1.993	1.673	0.7974	0.5566	1.367	0.4946	1.445	1.588	0.4502	2.194	2.862	1.098	2.229	1.913	1.482	1.337	1.523	2.036	1.281	4.736	1.897	2.34	1.864	0.3017
ENSG00000203965.8	EFCAB7	1.19	1.007	1.296	0.9535	1.213	1.059	1.706	1.269	1.474	1.678	4.152	3.826	1.906	2.206	1.434	2.166	1.906	1.307	1.255	1.292	1.476	1.814	1.243	1.855	2.052	1.456	0.8119	1.538	0.7928	1.542	1.719	1.262	0.7378	0.9383	0.2911	1.079	1.493	1.022	2.094	2.808	0.8444	3.341	1.622	1.164	1.158	0.9329	1.019	0.9121	3.693	1.867	2.16	1.524	0.1736
ENSG00000264271.1	RN7SL488P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251720.1	RNU7-123P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116652.5	DLEU2L	0.4287	0.1915	0.1915	0.2467	0.2778	0.2441	0.4118	0.09322	0.1451	0.1588	0.6595	1.165	0.3	0.1823	0.09916	0.1857	0.1912	0.1018	0.1131	0.08761	0.4947	0.5267	0.3856	0.3437	0.5067	0.2818	0.2005	0.3838	0.1669	0.3609	0.4888	0.2484	0.1341	0.1484	0.05096	0.2723	0.5064	0.5231	0.7191	0.7846	0.2923	0.6732	0.4222	0.3989	0.3869	0.2564	0.1673	0.2371	0.4316	0.4794	0.5154	0.3872	0
ENSG00000079739.11	PGM1	25.31	25.85	32.47	26.46	17.08	14.37	20.18	10.33	11.89	14.44	8.999	9.379	13.45	12.62	8.049	10.73	13.09	12.81	6.126	9.606	19.22	23.22	19.53	12.88	15.91	15.48	23.54	14.54	14.65	15.23	9.894	38.77	52.06	14.94	42.49	15.4	15.06	188.6	10.33	20.1	25.59	17.44	15.16	12.82	12.74	16.21	7.617	11.96	5.69	10.67	9.195	10.58	9.672
ENSG00000244256.2	RN7SL130P	0.5198	0.4135	0.5531	0.3115	0.2399	0.09862	0.3221	0.1473	0.1176	0.1241	0.5172	0.5454	0.1238	0.0739	0.09078	0.09929	0.146	0.07584	0.1294	0.06153	0.494	0.5429	0.2677	0.2685	0.677	0.1902	0.5413	0.182	0.3634	0.1396	0.2089	0.4435	0.3321	0.3615	1.472	0.4876	0.5651	0.5491	0.3052	0.5842	0.8716	0.5335	0.5746	0.3118	0.2985	0.526	0.2718	0.2595	0.2312	0.4132	0.2207	0.3944	0.239
ENSG00000185483.7	ROR1	1.237	1.53	0.3343	3.76	3.166	5.938	1.352	0.1703	0.1515	0.2117	0.5934	0.633	0.1508	0.1385	0.1522	0.1242	0.1751	0.1903	0.1027	0.1147	0.9697	0.04074	5.51	2.113	2.991	2.665	0.9155	1.241	1.152	0.5923	2.2	1.081	1.167	0.3577	0.04161	1.904	0.5048	0.2326	2.062	1.984	1.396	0.3291	1.203	1.124	1.152	0.5743	0.5674	2.636	0.4206	0.3051	1.974	1.252	0.007148
ENSG00000177452.7	RP4-597J3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228056.2	CFL1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207190.1	RNU6-809P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200508.1	Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223949.2	RP11-24J23.2	0.02542	0.02429	0	0.02699	0.02213	0.01241	0.005627	0.001716	0	0.005794	0.01094	0.01163	0	0	0	0	0	0.008918	0	0	0.008502	0.01086	0.0204	0.008468	0.03216	0.01175	0	0.004903	0.006224	0	0.01276	0.01766	0.009218	0.009654	0	0.04961	0.006449	0	0.02027	0.01468	0.01154	0.002659	0.01335	0.01249	0.01102	0.00517	0	0.01765	2.496	0.007686	0.01577	0.01205	0
ENSG00000177414.9	UBE2U	0	0	0	0	0	0	0	0	0	0	0	0	0.01119	0.01758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01446	0	0	0	0	0	0	0	0.08228	0	0	0.01334	0.01782	0	0	0.1417	17.48	0	0	0	0
ENSG00000238653.1	RNU7-62P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158966.9	CACHD1	8.042	7.325	7.352	2.106	3.179	3.385	4.619	5.805	4.623	7.385	0.9834	2.323	4.216	3.689	3.514	4.787	8.759	6.35	1.259	2.675	8.838	0.01326	3.957	7.034	10.2	1.993	1.406	4.384	2.271	2.871	8.445	1.682	0.8171	2.142	0.5203	4.265	3.477	0.9463	2.867	11.64	2.501	5.257	6.132	5.51	5.131	2.066	3.216	3.916	2.22	5.218	9.248	8.137	0.08441
ENSG00000264470.1	MIR4794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162437.10	RAVER2	2.396	2.412	4.436	6.129	5.838	2.342	4.358	3.944	3.186	5.082	7.861	7.179	3.233	3.055	3.107	3.084	4.302	3.958	1.537	3.041	3.094	0.02222	1.37	3.452	4.126	4.339	9.383	4.818	3.389	5.033	3.576	3.881	3.55	2.156	0.228	3.691	7.485	3.127	1.869	3.263	2.047	8.735	5.324	2.926	3.087	6.715	2.195	3.415	1.635	3.62	3.588	4.3	0.2119
ENSG00000162434.7	JAK1	48.14	39.84	20.65	24.09	26.59	31.51	34.39	10.7	11.41	12.59	23.69	20.56	12.38	14.19	11.01	12.96	11.09	10.58	12.16	11.47	39.28	21.35	42.69	34.65	40.14	24.87	23.07	25.93	17.61	24.84	28.34	17.02	18.44	19.04	9.776	39.79	20.23	22.81	23.41	35.89	15.36	24.95	19.19	27.84	32.48	28.57	44.13	19.73	20.74	26.86	30.64	25.83	31.54
ENSG00000234784.2	RP11-182I10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233877.2	RP11-182I10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226891.2	RP11-182I10.3	0.3145	0.2523	0.2161	0.3706	0.3269	0.3297	0.3426	0.1566	0.1654	0.2436	0.3713	0.3414	0.1639	0.1602	0.1611	0.1428	0.2302	0.1993	0.1624	0.1644	0.4484	0	0.04519	0.2598	0.4202	0.301	0.189	0.2847	0.07038	0.2241	0.53	0.1577	0.08628	0.134	0.07342	0.1913	0.3576	0.1044	0.5821	1.176	0.2202	0.4057	0.3993	0.1563	0.1621	0.1955	0.2917	0.2112	0.997	0.6704	0.5807	0.3147	0.04289
ENSG00000185031.6	SLC2A3P2	0.1872	0.1126	0.1655	0.1785	0.1778	0.1718	0.3419	0.02892	0.02697	0.05046	0.07841	0.09492	0.03111	0.02536	0.02098	0.01663	0.0415	0.02753	0.04109	0.02241	0.2919	0	0.03733	0.07706	0.4278	0.1485	0.11	0.1867	0.04807	0.14	0.3816	0.06483	0.04056	0.07528	0.02378	0.08375	0.1993	0.04689	0.3089	0.692	0.1756	0.185	0.1522	0.07996	0.1036	0.1283	0.0871	0.1391	0.1093	0.3682	0.3173	0.1578	0.01285
ENSG00000272506.1	RP4-535B20.4	0.2748	0.1713	0.1231	0.2072	0.2063	0.2251	0.1998	0.2057	0.2179	0.2434	1.058	0.7724	0.1793	0.1895	0.1996	0.201	0.2471	0.1973	0.2227	0.1972	0.3457	0	0.05637	0.313	0.3258	0.2581	0.1468	0.2408	0.07169	0.1765	0.319	0.1107	0.07115	0.1378	0.07876	0.2024	0.2295	0.08544	0.5035	0.8802	0.1286	0.5161	0.4196	0.161	0.2209	0.1679	0.4319	0.1487	0.4865	0.4208	0.5871	0.2801	0.1142
ENSG00000212257.1	RNU6-1176P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265996.1	MIR3671	0.1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07175	0	0	0	0	0	0	0	0	0	0.4816	0	0	0	0	0	0	0	0.225	0.2284	0	0	0	0	0	0.164	0	0	0	0	0	0	0
ENSG00000199135.1	MIR101-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231485.1	RP4-535B20.1	0.1449	0.1335	0.09725	0.2644	0.1983	0.2734	0.193	0.09992	0.1031	0.1529	0.1618	0.1393	0.1043	0.1352	0.1134	0.1154	0.113	0.09754	0.1101	0.0876	0.158	0	0.04525	0.1584	0.2952	0.1441	0.07092	0.1464	0	0.121	0.2599	0.1126	0.03703	0.06578	0	0.05562	0.06344	0.04716	0.1864	0.4463	0	0.1332	0.14	0.05661	0.05238	0.0703	0.06329	0.05021	0	0.1444	0.2847	0.1136	0
ENSG00000235804.2	RP4-535B20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234496.2	MRPS21P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162433.10	AK4	5.468	7.213	0.3221	6.74	7.102	10.91	9.566	8.734	9.185	9.689	9.398	8.1	7.243	8.251	5.705	6.377	9.362	6.664	5.238	4.836	6.363	15.38	6.364	3.014	2.157	9.278	5.156	8.354	7.51	9.897	4.131	8.299	10.29	16.47	12.38	0.817	3.94	0.3046	2.984	1.076	0.179	2.134	6.285	10.27	10.79	2.103	0.3756	6.897	5.317	1.156	3.144	4.917	0.1259
ENSG00000231622.1	RP4-700A9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116675.11	DNAJC6	0.827	0.6161	2.864	0.4039	0.8003	0.8191	0.7342	17.85	24.43	13.42	30.75	20.38	20.02	34.12	21.09	29.05	15.71	11.65	26	25.31	0.7209	0.1078	0.8686	0.4282	0.429	1.183	0.4867	0.6475	0.1199	0.6773	0.3022	2.161	0.7306	1.379	0.1002	0.9113	0.4005	0.1141	2.584	0.2204	0.3706	10.44	0.386	0.3759	0.5026	0.3367	0.6629	0.7954	0.9034	0.5634	0.2955	0.3529	0.106
ENSG00000229294.1	RP5-1044H5.1	0	0	0	0	0	0	0	0	0	0	0.04395	0.08476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452	0	0	0	0	0	0	1.214	0	0	0	0
ENSG00000234144.1	RP5-1044H5.2	0	0	0	0	0	0	0	0	0	0.08067	0.2553	0.1907	0	0	0.05042	0	0.07978	0.07135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5539	0	0	0	0	0	0	1.504	0	0	0	0
ENSG00000222624.1	RNU2-15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116678.14	LEPR	3.241	4.159	0.7024	2.138	3.592	3.049	1.851	0.681	0.5864	0.8627	0.6167	0.6278	0.5372	0.644	0.8588	1.111	0.802	0.7032	1.471	1.086	5.621	0.2509	2.96	2.242	4.973	1.781	0.8611	1.813	1.134	1.691	2.326	1.189	0.3724	0.8453	6.229	4.739	3.013	0.2687	9.231	5.85	0.3736	1.463	1.823	2.127	1.393	1.13	0.4551	3.369	0.5838	3.248	4.045	1.595	0.1178
ENSG00000213625.4	LEPROT	35.07	29.89	30	31.35	31.7	29.05	30.17	9.048	7.852	9.771	4.433	4.911	6.666	6.653	7.584	8.562	8.975	8.554	10.4	11.53	32.47	7.021	37.26	27.16	33.39	19.48	16.75	20.2	15.29	20.2	27.43	13.81	9.704	26.48	10.13	28.87	19.13	6.504	26	29.89	11.59	13.24	18.2	17.45	16.93	15.38	19.15	17.27	9.667	27.91	30.16	21.09	6.94
ENSG00000237852.1	RP4-630A11.3	0.07486	0.08691	0.07217	0.07024	0.08883	0.03291	0.1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08447	0.03819	0.09337	0.1424	0.06086	0.06265	0.04904	0.0627	0.07815	0.05145	0.09321	0	0	0.08089	0	0.09886	0.04743	0	0.07639	0.0386	0	0	0.0721	0.08241	0.04621	0.0885	0.1665	0.04296	0.05645	0.06155	0.07717	0.09569	0.04573
ENSG00000238931.1	snoU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224570.1	RP11-430H12.2	0	0.02053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01911	0	0	0.01113	0.05073	0	0	0	0	0	0	0	0	0	0.05936	0.02447	0	0	0.03072	0.03674	0	0.02473	0	0.02054	0	0	0	0	0	0.008394	0.02372	0.02081	0
ENSG00000239319.2	RN7SL854P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184588.13	PDE4B	4.441	4.108	0.6744	2.654	2.22	3.985	1.401	7.51	5.571	7.785	3.74	4.724	7.032	6.895	7.279	7.49	8.533	7.298	11.16	8.499	5.394	5.429	2.711	2.734	2.113	1.254	1.255	1.187	0.6382	1.199	1.462	4.627	1.261	0.9494	0.6755	4.976	3.623	3.127	2.459	0.4881	0.2401	1	4.73	2.023	2.762	3.418	7.068	1.002	1.344	2.582	0.8327	1.625	2.967
ENSG00000227466.1	RP11-397C12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5048	0	0	0	0
ENSG00000223152.1	RNU4-88P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118473.17	SGIP1	2.052	0.7824	0.1355	5.54	2.929	7.185	0.3392	4.658	4.816	4.921	4.648	4.796	4.798	6.006	4.073	4.278	7.3	4.381	2.875	3.528	0.8336	0.007166	1.636	2.253	3.381	0.9401	0.4563	1.408	0.3552	1.947	1.255	0.9097	0.6259	1.829	0.09265	2.429	0.4551	0.355	0.9413	0.4734	0.09322	2.884	1.821	0.2827	0.4021	0.4799	0.0718	0.8232	1.631	3.012	1.742	1.487	0.02921
ENSG00000264720.1	MIR3117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248458.2	AL139147.1	0.1042	0.05835	0	0.2666	0.1246	0.2566	0.01617	0.03021	0.02333	0.03486	0.03281	0.042	0.05009	0.02005	0.03318	0.02021	0.02203	0.02715	0.08852	0.03759	0.04701	0	0.1096	0.05348	0.2264	0.03587	0	0.03876	0	0.03889	0.03422	0.07223	0.02709	0.04222	0	0.1187	0.02967	0.0188	0.05659	0.02436	0	0.09645	0.07965	0.006025	0.02282	0	0	0	0.1204	0.08471	0.08651	0.1053	0
ENSG00000221655.2	AL354978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152760.5	TCTEX1D1	0.6757	0.686	0.1417	0.2289	0.4147	0.118	0.3555	0.8018	1.015	1.131	0.8667	1.014	1.448	1.597	1.432	3.201	0.7577	0.6592	0.8052	1.095	0.6427	0	1.149	0.4375	0.7385	0.5731	0.3144	0.4953	0.1916	0.5731	0.7701	0.5283	0.6992	0.2564	0.5389	1.532	0.3205	0.2049	0.8874	0.03959	0.07331	0.3506	0.4691	0.3527	0.3039	0.3438	0.1897	0.2734	0.06212	0.321	0.3429	0.497	0.2058
ENSG00000172410.4	INSL5	0	0	0	0	0.02606	0	0	0.12	0.1586	0.1326	0.04197	0.05253	0.178	0.1931	0.1494	0.2905	0.2081	0.08313	0.04777	0.08771	0	0	0	0.01435	0	0.02732	0.3754	0	0	0	0.1096	0	0	0.05916	0	0	0	0	0.05275	0	0	0.1115	0.06216	0	0	0	0	0	0.3769	0.09308	0	0	0
ENSG00000152763.12	WDR78	0.393	0.2858	0.5146	0.3856	0.5478	0.5688	0.2531	0.394	0.318	0.4196	0.1379	0.1557	0.3464	0.3364	0.3938	0.578	0.4408	0.283	0.4144	0.373	0.5071	0.06641	0.5437	0.4731	0.5928	0.2547	0.9111	0.2504	0.07499	0.2263	0.7323	0.2589	0.1683	0.7934	0.1166	0.4962	0.324	0.0649	0.9609	0.6623	0.2986	0.9701	0.477	0.2243	0.2585	0.1928	0.2558	0.1993	6.637	1.333	0.5335	0.2994	0.01792
ENSG00000231080.1	RP11-342H21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198160.10	MIER1	5.921	5.347	5.301	6.376	5.737	6.89	5.307	2.546	2.401	2.681	4.229	3.142	1.939	2.742	2.582	2.843	2.741	2.43	3.213	2.62	5.501	9.171	5.199	6.191	6.898	5.582	6.694	5.15	3.614	5.01	5.503	2.399	1.615	2.843	2.974	5.68	3.618	1.744	5.454	6.162	1.958	3.712	4.85	4.307	4.152	5.082	4.872	3.81	6.093	4.805	6.158	5.185	3.725
ENSG00000116704.6	SLC35D1	2.825	2.648	3.864	4.704	3.692	3.061	4.009	1.411	1.313	1.938	2.954	2.864	1.442	1.414	1.397	1.816	2.341	1.526	1.709	1.504	2.648	4.128	6.995	4.725	5.023	3.282	10.28	3.128	3.076	2.857	3.905	1.61	1.201	2.607	12.89	2.616	2.483	2.308	2.998	4.393	2.974	3.616	3.833	3.939	3.76	7.2	2.782	4.6	4.277	3.799	4.163	4.753	0.7904
ENSG00000203963.7	C1orf141	0	0	0	0	0	0	0	0.1272	0.07216	0.1237	0.01191	0.01449	0.06059	0.06718	0.1051	0.102	0.09044	0.06578	0.04131	0.04956	0	0	0	0	0.02858	0	0	0	0	0	0.0233	0	0	0	0	0.03382	0	0	0	0.04603	0	0	0	0	0	0	0	0	5.18	0	0	0	0
ENSG00000252433.1	SNORA31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162594.10	IL23R	0	0	0.2017	0	0	0	0.0143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.591	0	0	0	0	0.1113	0	0.01433	0	0	0	0	0	0.007892	0.01972	0	0	0	0	0.01276	0	0	0	0	0.0633	0.03298	0	0.5516	0	0	0.00891	0.01014
ENSG00000253074.1	RNU6-586P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
